,Pokemon1,Pokemon2,HP1,Attack1,Defense1,Sp.Atk1,Sp.Def1,Speed1,HP2,Attack2,Defense2,Sp.Atk2,Sp.Def2,Speed2,Winner,Winner_Encode
55,723,646,59,59,58,90,70,73,71,95,85,110,95,79,646,1
56,384,533,70,70,70,70,70,70,50,65,107,105,107,86,533,1
57,734,673,45,22,60,27,30,29,66,117,70,40,50,67,673,1
58,141,721,95,125,79,60,100,81,88,107,122,74,75,64,141,0
59,244,741,45,55,45,65,45,75,66,65,48,62,57,52,244,0
60,509,217,45,20,50,60,120,50,48,72,48,72,48,48,509,0
61,633,44,60,105,60,120,60,105,73,76,75,81,100,100,633,0
62,595,719,105,140,95,55,65,45,56,61,65,48,45,38,595,0
63,606,40,60,100,89,55,69,112,81,102,77,85,75,85,606,0
64,368,598,73,115,60,60,60,90,105,95,75,85,75,74,368,0
65,746,584,62,48,54,63,60,68,55,75,85,25,25,15,746,0
66,350,187,70,140,70,110,65,105,20,40,15,35,35,60,350,0
67,303,198,60,50,100,85,70,65,75,80,95,90,100,50,303,0
68,169,701,80,82,100,83,100,80,91,129,90,72,90,108,701,1
69,569,115,41,50,37,50,37,66,50,120,53,35,110,87,115,1
70,231,172,20,10,230,10,230,5,78,84,78,109,85,100,172,1
71,71,440,55,50,45,135,95,120,64,66,68,81,76,50,71,0
72,659,610,44,50,91,24,86,10,70,60,75,110,75,90,610,1
73,570,557,64,88,50,88,50,106,75,75,95,75,95,113,557,1
74,712,40,125,170,100,120,90,95,81,102,77,85,75,85,712,0
75,451,352,80,120,79,95,79,70,170,90,45,90,45,60,451,0
76,661,95,40,55,70,45,60,30,90,70,80,70,95,70,95,1
77,540,4,75,125,70,125,70,115,80,100,123,122,120,80,540,0
78,130,319,30,45,55,70,55,85,84,71,43,71,43,48,130,0
79,125,418,105,125,100,60,100,100,80,80,90,110,130,110,418,1
80,309,276,70,60,62,80,82,60,70,110,75,145,85,145,276,1
81,579,612,50,55,50,36,30,43,50,72,35,35,35,65,612,1
82,716,80,100,77,77,128,128,90,80,70,65,80,120,100,80,1
83,482,535,45,30,50,65,50,45,50,65,107,105,107,86,535,1
84,376,37,40,40,55,40,70,55,90,92,87,75,85,76,37,1
85,6,328,58,64,58,80,65,80,50,85,125,85,115,20,328,1
86,343,159,65,73,55,47,75,85,90,100,90,125,85,90,159,1
87,509,574,45,20,50,60,120,50,75,98,63,98,63,101,574,1
88,546,530,150,120,100,120,100,90,45,100,135,65,135,45,546,0
89,486,229,67,89,116,79,116,33,70,130,100,55,80,65,229,1
90,686,213,45,85,70,40,40,60,95,65,110,60,130,65,213,1
91,304,386,28,25,25,45,35,40,44,75,35,63,33,45,386,1
92,514,732,70,70,115,130,90,60,78,81,71,74,69,126,732,1
93,161,757,61,84,65,70,70,70,53,54,53,37,46,45,161,0
94,150,265,35,40,100,90,55,35,100,75,115,90,115,85,265,1
95,436,701,44,58,44,58,44,61,91,129,90,72,90,108,701,1
96,221,265,75,90,140,60,60,40,100,75,115,90,115,85,265,1
97,436,603,44,58,44,58,44,61,75,103,80,70,80,92,603,1
98,242,365,35,65,35,65,35,65,45,40,60,40,75,50,242,0
99,792,251,85,70,80,97,80,123,90,60,60,40,40,40,792,0
100,607,295,40,27,60,37,50,66,60,50,50,60,70,50,607,0
101,439,209,53,51,53,61,56,40,65,65,45,75,45,95,209,1
102,657,360,50,47,50,57,50,65,45,100,45,45,45,10,657,0
103,436,40,44,58,44,58,44,61,81,102,77,85,75,85,40,1
104,325,408,50,45,45,35,35,50,65,95,100,60,50,50,408,1
105,472,89,75,100,66,60,66,115,25,35,70,95,55,45,472,0
106,71,777,55,50,45,135,95,120,90,100,70,110,150,80,71,0
107,47,615,40,45,35,30,40,55,70,90,45,15,45,50,47,0
108,5,670,39,52,43,60,50,65,60,40,60,95,60,55,5,0
109,793,314,126,131,95,131,98,99,150,160,100,95,65,100,314,1
110,195,461,70,55,55,80,60,45,60,69,95,69,95,36,195,0
111,493,568,68,90,65,50,55,82,85,110,90,45,90,80,493,0
112,400,341,90,60,70,75,70,45,60,50,40,85,75,95,341,1
113,63,297,65,105,60,60,70,95,40,40,50,30,30,30,63,0
114,541,446,100,120,120,150,100,90,79,85,60,55,60,71,541,0
115,141,152,95,125,79,60,100,81,30,80,90,55,45,55,141,0
116,54,115,60,55,50,40,55,45,50,120,53,35,110,87,115,1
117,378,161,66,41,77,61,87,23,61,84,65,70,70,70,161,1
118,224,316,75,85,200,55,65,30,61,90,45,50,50,160,316,1
119,311,398,60,130,80,60,60,70,80,120,80,120,80,100,398,1
120,298,35,70,70,40,60,40,60,55,47,52,40,40,41,298,0
121,356,132,70,85,140,85,70,20,40,45,65,100,120,90,356,0
122,103,370,60,65,80,170,95,130,70,55,65,95,85,70,103,0
123,503,453,70,90,110,60,75,95,60,70,65,125,105,90,503,0
124,600,598,75,125,75,30,75,85,105,95,75,85,75,74,600,0
125,445,45,59,45,40,35,40,31,115,45,20,45,25,20,445,0
126,360,548,45,100,45,45,45,10,80,80,80,80,80,80,548,1
127,303,133,60,50,100,85,70,65,70,110,80,55,80,105,133,1
128,51,331,75,80,85,110,90,50,50,70,100,40,40,30,51,0
129,171,559,58,64,58,80,65,80,90,93,55,70,55,55,171,0
130,758,129,86,92,88,68,75,73,80,92,65,65,80,68,758,0
131,6,255,58,64,58,80,65,80,55,20,35,20,45,75,6,0
132,698,154,55,85,55,50,55,60,80,105,65,60,75,130,154,1
133,92,491,35,85,45,35,35,75,50,92,108,92,108,35,491,1
134,381,73,75,125,100,70,80,45,70,80,50,35,35,35,381,0
135,354,271,70,100,70,105,75,40,106,130,90,110,154,90,271,1
136,219,49,70,80,65,90,65,85,45,50,55,75,65,30,219,0
137,736,244,62,50,58,73,54,72,45,55,45,65,45,75,244,1
138,683,245,77,120,90,60,90,48,65,40,70,80,140,70,245,1
139,533,452,50,65,107,105,107,86,40,30,35,50,70,55,533,0
140,200,588,100,50,80,60,80,50,67,57,55,77,55,114,588,1
141,403,636,55,104,105,94,75,52,45,30,50,55,65,45,403,0
142,56,561,10,55,25,35,45,95,55,55,45,63,45,45,561,1
143,54,119,60,55,50,40,55,45,65,90,120,85,70,60,119,1
144,629,141,75,140,65,112,65,110,95,125,79,60,100,81,629,0
145,547,779,120,70,120,75,130,85,43,70,48,50,60,38,547,0
146,380,547,45,95,50,40,50,75,120,70,120,75,130,85,547,1
147,407,307,45,75,60,40,30,50,68,85,65,165,135,100,307,1
148,153,559,60,115,105,65,70,80,90,93,55,70,55,55,153,0
149,306,268,68,65,65,125,115,80,100,134,110,95,100,61,306,0
150,89,382,25,35,70,95,55,45,20,15,20,10,55,80,89,0
151,54,32,60,55,50,40,55,45,60,90,55,90,80,110,32,1
152,172,745,78,84,78,109,85,100,75,80,60,65,90,102,745,1
153,16,110,60,45,50,90,80,70,60,50,70,80,80,140,110,1
154,537,734,50,65,107,105,107,86,45,22,60,27,30,29,537,0
155,278,94,60,85,60,85,60,55,65,45,55,45,70,45,278,0
156,342,643,60,40,50,75,85,95,75,87,63,87,63,98,643,1
157,435,165,95,109,105,75,85,56,106,150,70,194,120,140,165,1
158,638,691,70,55,95,95,110,65,70,55,75,45,65,60,691,1
159,734,718,45,22,60,27,30,29,71,120,95,120,95,99,718,1
160,298,781,70,70,40,60,40,60,49,66,70,44,55,51,298,0
161,42,113,95,70,73,95,90,60,50,50,95,40,50,35,42,0
162,97,316,105,105,75,65,100,50,61,90,45,50,50,160,97,0
163,416,397,80,50,100,100,200,50,80,80,80,80,80,80,397,1
164,483,400,63,63,47,41,41,74,90,60,70,75,70,45,483,0
165,275,155,70,85,65,105,85,120,80,135,85,70,95,150,155,1
166,154,461,80,105,65,60,75,130,60,69,95,69,95,36,154,0
167,309,4,70,60,62,80,82,60,80,100,123,122,120,80,4,1
168,539,30,80,105,105,105,105,80,60,85,69,65,79,80,30,1
169,545,266,150,100,120,100,120,90,50,64,50,45,50,41,545,0
170,283,340,100,110,90,85,90,60,70,75,80,135,80,135,340,1
171,232,254,80,125,75,40,95,85,73,95,62,85,65,85,254,1
172,384,427,70,70,70,70,70,70,105,180,100,180,100,115,427,1
173,161,781,61,84,65,70,70,70,49,66,70,44,55,51,161,0
174,496,420,135,85,40,40,85,5,80,90,80,130,110,110,496,0
175,268,159,100,134,110,95,100,61,90,100,90,125,85,90,159,1
176,473,593,90,50,34,60,44,70,75,80,55,25,35,35,473,0
177,550,475,70,90,90,135,90,125,55,66,44,44,56,85,550,0
178,199,785,70,20,50,20,50,40,65,90,122,58,75,84,785,1
179,385,732,60,90,70,60,120,40,78,81,71,74,69,126,732,1
180,488,196,20,25,45,70,90,60,90,75,85,115,90,55,488,0
181,30,587,60,85,69,65,79,80,55,45,43,55,43,72,30,0
182,36,494,70,62,67,55,55,56,108,130,95,80,85,102,494,1
183,513,184,70,120,65,45,85,125,85,90,80,70,80,130,184,1
184,129,106,80,92,65,65,80,68,85,73,70,73,115,67,129,0
185,6,604,58,64,58,80,65,80,30,45,59,30,39,57,6,0
186,137,315,65,125,100,55,70,85,31,45,90,30,30,40,137,0
187,83,509,80,120,130,55,65,45,45,20,50,60,120,50,509,1
188,585,534,70,105,105,50,40,20,50,65,107,105,107,86,585,0
189,743,57,67,82,62,46,48,43,35,80,50,50,70,120,57,1
190,220,723,50,65,90,35,35,15,59,59,58,90,70,73,723,1
191,764,665,71,73,88,120,89,59,65,85,70,75,70,40,764,0
192,708,439,100,150,120,120,100,90,53,51,53,61,56,40,708,0
193,28,545,65,90,65,61,61,100,150,100,120,100,120,90,545,1
194,23,796,83,80,75,70,70,101,50,100,150,100,150,50,23,0
195,698,147,55,85,55,50,55,60,65,65,60,110,95,130,147,1
196,306,635,68,65,65,125,115,80,75,95,60,65,60,115,635,1
197,158,666,90,90,85,125,90,100,85,115,80,105,80,50,158,0
198,55,750,70,65,60,90,75,90,59,110,150,45,49,35,750,1
199,513,439,70,120,65,45,85,125,53,51,53,61,56,40,513,0
200,769,264,77,59,50,67,63,46,115,115,85,90,75,100,264,1
201,232,499,80,125,75,40,95,85,70,145,88,140,70,112,499,1
202,23,623,83,80,75,70,70,101,72,58,80,103,80,97,23,0
203,97,250,105,105,75,65,100,50,75,95,95,95,95,85,250,1
204,324,544,30,45,135,45,90,30,110,160,110,80,110,100,544,1
205,517,10,100,100,125,110,50,50,44,48,65,50,64,43,517,0
206,586,461,85,135,130,60,80,25,60,69,95,69,95,36,461,1
207,779,349,43,70,48,50,60,38,70,120,40,95,40,95,349,1
208,669,226,50,30,55,65,55,20,60,80,50,40,40,30,226,1
209,623,53,72,58,80,103,80,97,60,95,80,60,80,30,623,0
210,538,718,75,75,130,75,130,95,71,120,95,120,95,99,718,1
211,438,242,76,104,71,104,71,108,35,65,35,65,35,65,438,0
212,523,759,65,60,110,130,95,65,42,52,67,39,56,50,523,0
213,14,103,45,30,35,20,20,45,60,65,80,170,95,130,103,1
214,378,152,66,41,77,61,87,23,30,80,90,55,45,55,152,1
215,478,361,60,60,60,105,105,105,50,70,50,50,50,70,478,0
216,137,698,65,125,100,55,70,85,55,85,55,50,55,60,137,0
217,354,739,70,100,70,105,75,40,54,45,47,75,98,52,739,1
218,233,684,80,185,115,40,105,75,59,74,50,35,50,35,684,1
219,291,605,60,70,50,100,50,65,40,55,99,40,79,47,291,0
220,96,264,80,80,50,40,50,25,115,115,85,90,75,100,264,1
221,730,137,45,50,43,40,38,62,65,125,100,55,70,85,137,1
222,129,744,80,92,65,65,80,68,95,124,78,69,71,58,129,0
223,611,107,70,92,65,80,55,98,30,105,90,25,25,50,611,0
224,58,560,40,45,35,40,40,90,110,123,65,100,65,65,560,1
225,658,146,70,77,60,97,60,108,130,65,60,110,95,65,658,0
226,625,753,58,50,145,95,105,30,78,52,60,63,65,23,625,0
227,524,27,75,95,125,45,75,95,40,60,30,31,31,70,524,0
228,794,474,126,131,95,131,98,99,150,80,44,90,54,80,794,0
229,365,391,45,40,60,40,75,50,99,68,83,72,87,51,391,1
230,592,585,103,60,126,80,126,50,70,105,105,50,40,20,592,0
231,512,586,90,132,105,132,105,30,85,135,130,60,80,25,512,0
232,526,424,85,80,70,135,75,90,100,150,140,100,90,90,424,1
233,70,456,40,35,30,120,70,105,30,42,118,42,88,30,70,0
234,540,288,75,125,70,125,70,115,78,70,61,50,61,100,540,0
235,347,389,100,73,83,73,83,55,20,40,90,30,90,25,347,0
236,689,128,70,83,50,37,50,60,45,67,60,35,50,63,128,1
237,211,701,95,85,85,65,65,35,91,129,90,72,90,108,701,1
238,336,385,60,60,75,60,75,80,60,90,70,60,120,40,336,0
239,594,80,85,105,85,40,50,40,80,70,65,80,120,100,80,1
240,785,490,65,90,122,58,75,84,76,65,45,92,42,91,490,1
241,425,308,100,180,160,150,90,90,40,30,32,50,52,65,425,0
242,27,731,40,60,30,31,31,70,62,73,55,56,52,84,731,1
243,459,399,60,59,85,79,105,36,70,40,50,55,50,25,459,0
244,421,494,80,130,100,160,120,110,108,130,95,80,85,102,421,0
245,578,768,116,55,85,107,95,29,82,121,119,69,59,71,768,1
246,63,82,65,105,60,60,70,95,55,95,115,45,45,35,63,0
247,257,221,50,95,95,35,110,70,75,90,140,60,60,40,257,0
248,4,150,80,100,123,122,120,80,35,40,100,90,55,35,4,0
249,546,333,150,120,100,120,100,90,70,110,180,60,60,50,546,0
250,308,544,40,30,32,50,52,65,110,160,110,80,110,100,544,1
251,213,442,95,65,110,60,130,65,40,55,30,30,30,60,213,0
252,575,302,50,53,48,53,48,64,40,30,30,55,30,85,302,1
253,209,645,65,65,45,75,45,95,51,65,65,80,75,59,209,0
254,92,768,35,85,45,35,35,75,82,121,119,69,59,71,92,0
255,116,672,50,105,79,35,110,76,46,87,60,30,40,57,116,0
256,132,69,40,45,65,100,120,90,25,20,15,105,55,90,69,1
257,568,396,85,110,90,45,90,80,50,50,50,50,50,50,568,0
258,644,218,36,50,50,65,60,44,190,33,58,33,58,33,644,0
259,321,163,72,60,30,20,30,25,106,110,90,154,90,130,163,1
260,17,164,40,35,30,20,20,50,106,190,100,154,100,130,164,1
261,715,190,91,72,90,129,90,108,35,20,65,40,65,20,715,0
262,51,57,75,80,85,110,90,50,35,80,50,50,70,120,51,0
263,237,448,40,40,40,70,40,20,77,85,51,55,51,65,448,1
264,580,676,62,77,62,50,42,65,95,110,80,70,80,50,580,0
265,789,726,55,69,85,32,35,28,54,63,52,83,56,97,726,1
266,420,718,80,90,80,130,110,110,71,120,95,120,95,99,420,0
267,83,499,80,120,130,55,65,45,70,145,88,140,70,112,499,1
268,526,159,85,80,70,135,75,90,90,100,90,125,85,90,159,1
269,115,56,50,120,53,35,110,87,10,55,25,35,45,95,56,1
270,358,636,80,45,65,90,110,80,45,30,50,55,65,45,358,0
271,54,532,60,55,50,40,55,45,50,50,77,95,77,91,532,1
272,534,798,50,65,107,105,107,86,80,110,60,150,130,70,534,0
273,768,179,82,121,119,69,59,71,100,50,50,76,96,70,768,0
274,94,724,65,45,55,45,70,45,75,69,72,114,100,104,724,1
275,795,437,108,100,121,81,95,95,64,78,52,78,52,81,795,0
276,313,432,80,80,80,55,55,90,50,95,90,95,90,180,432,1
277,305,251,38,35,35,65,55,50,90,60,60,40,40,40,305,0
278,269,289,100,164,150,95,120,71,45,45,35,20,30,20,269,0
279,593,733,75,80,55,25,35,35,38,35,40,27,25,35,733,1
280,568,428,85,110,90,45,90,80,100,100,100,100,100,100,428,1
281,290,287,50,35,55,25,25,15,38,30,41,30,41,60,287,1
282,762,733,65,75,90,97,123,44,38,35,40,27,25,35,762,0
283,217,100,48,72,48,72,48,48,30,35,30,100,35,80,100,1
284,668,87,75,75,75,125,95,40,95,75,110,100,80,30,668,0
285,165,49,106,150,70,194,120,140,45,50,55,75,65,30,165,0
286,123,771,65,55,115,100,40,60,95,65,65,110,130,60,771,1
287,261,154,95,80,105,40,70,100,80,105,65,60,75,130,154,1
288,225,640,75,125,230,55,95,30,65,40,50,125,60,30,640,1
289,313,103,80,80,80,55,55,90,60,65,80,170,95,130,103,1
290,106,505,85,73,70,73,115,67,83,106,65,86,65,85,505,1
291,453,614,60,70,65,125,105,90,95,117,80,65,70,92,614,1
292,107,48,30,105,90,25,25,50,75,80,70,65,75,90,48,1
293,722,590,40,45,40,62,60,60,110,135,60,50,65,88,590,1
294,559,431,90,93,55,70,55,55,50,70,160,70,160,90,431,1
295,141,727,95,125,79,60,100,81,72,95,67,103,71,122,727,1
296,490,239,76,65,45,92,42,91,50,50,40,30,30,50,490,0
297,490,340,76,65,45,92,42,91,70,75,80,135,80,135,340,1
298,373,128,110,78,73,76,71,60,45,67,60,35,50,63,128,1
299,3,730,80,82,83,100,100,80,45,50,43,40,38,62,3,0
300,502,91,40,50,90,30,55,65,52,65,55,58,62,60,502,0
301,714,104,91,72,90,129,90,108,35,45,160,30,45,70,714,0
302,788,276,85,100,122,58,75,54,70,110,75,145,85,145,276,1
303,459,16,60,59,85,79,105,36,60,45,50,90,80,70,16,1
304,432,143,50,95,90,95,90,180,130,85,80,85,95,60,432,0
305,724,2,75,69,72,114,100,104,60,62,63,80,80,60,724,0
306,648,533,80,100,70,60,70,95,50,65,107,105,107,86,648,0
307,250,357,75,95,95,95,95,85,60,25,35,70,80,60,250,0
308,155,439,80,135,85,70,95,150,53,51,53,61,56,40,155,0
309,447,20,37,25,41,25,41,25,65,150,40,15,80,145,20,1
310,366,371,75,70,90,70,105,80,70,95,85,55,65,70,366,0
311,337,770,60,100,85,80,85,100,123,77,72,99,92,58,337,0
312,358,765,80,45,65,90,110,80,44,38,33,61,43,70,358,0
313,198,110,75,80,95,90,100,50,60,50,70,80,80,140,198,0
314,152,760,30,80,90,55,45,55,72,105,115,54,86,68,760,1
315,164,577,106,190,100,154,100,130,76,25,45,67,55,24,164,0
316,174,646,65,80,80,59,63,58,71,95,85,110,95,79,646,1
317,438,59,76,104,71,104,71,108,65,70,60,65,65,115,59,1
318,614,443,95,117,80,65,70,92,55,75,50,40,40,80,614,0
319,789,127,55,69,85,32,35,28,55,65,95,95,45,85,127,1
320,504,421,48,61,40,61,40,50,80,130,100,160,120,110,421,1
321,565,214,60,85,69,60,69,77,60,85,42,85,42,91,214,1
322,158,635,90,90,85,125,90,100,75,95,60,65,60,115,635,1
323,386,21,44,75,35,63,33,45,40,45,40,35,35,56,21,1
324,408,404,65,95,100,60,50,50,55,84,105,114,75,52,404,1
325,349,440,70,120,40,95,40,95,64,66,68,81,76,50,349,0
326,410,295,95,145,130,120,90,120,60,50,50,60,70,50,410,0
327,83,569,80,120,130,55,65,45,41,50,37,50,37,66,569,1
328,249,411,75,90,90,140,90,115,40,55,80,35,60,30,249,0
329,173,609,50,65,64,44,48,43,45,35,50,70,50,30,173,0
330,770,572,123,77,72,99,92,58,75,98,63,98,63,101,572,1
331,51,473,75,80,85,110,90,50,90,50,34,60,44,70,473,1
332,452,106,40,30,35,50,70,55,85,73,70,73,115,67,106,1
333,550,769,70,90,90,135,90,125,77,59,50,67,63,46,550,0
334,525,740,110,130,80,70,60,80,78,65,68,112,154,75,525,0
335,464,762,70,80,102,80,102,40,65,75,90,97,123,44,762,1
336,147,798,65,65,60,110,95,130,80,110,60,150,130,70,798,1
337,572,45,75,98,63,98,63,101,115,45,20,45,25,20,572,0
338,569,741,41,50,37,50,37,66,66,65,48,62,57,52,569,0
339,193,28,65,75,70,95,70,95,65,90,65,61,61,100,28,1
340,247,445,45,60,30,80,50,65,59,45,40,35,40,31,247,0
341,511,280,90,92,75,92,85,60,80,160,80,130,80,100,280,1
342,435,44,95,109,105,75,85,56,73,76,75,81,100,100,44,1
343,794,359,126,131,95,131,98,99,60,60,60,60,60,60,794,0
344,196,758,90,75,85,115,90,55,86,92,88,68,75,73,758,1
345,470,410,76,48,48,57,62,34,95,145,130,120,90,120,410,1
346,631,164,80,95,82,60,82,75,106,190,100,154,100,130,164,1
347,451,790,80,120,79,95,79,70,95,117,184,44,46,28,451,0
348,211,442,95,85,85,65,65,35,40,55,30,30,30,60,442,1
349,773,582,67,58,57,81,67,101,45,60,32,50,32,76,773,0
350,403,59,55,104,105,94,75,52,65,70,60,65,65,115,59,1
351,401,413,110,80,90,95,90,65,80,135,130,95,90,70,413,1
352,228,679,65,95,75,55,55,85,80,70,40,100,60,145,679,1
353,753,196,78,52,60,63,65,23,90,75,85,115,90,55,196,1
354,578,434,116,55,85,107,95,29,75,89,85,55,65,36,434,1
355,210,40,55,45,45,25,25,15,81,102,77,85,75,85,40,1
356,38,716,46,57,40,40,40,50,100,77,77,128,128,90,716,1
357,18,458,45,25,50,25,25,35,40,29,45,29,45,36,458,1
358,538,742,75,75,130,75,130,95,123,100,62,97,81,68,538,0
359,702,627,91,90,72,90,129,108,74,108,133,83,65,32,702,0
360,403,412,55,104,105,94,75,52,60,75,100,55,80,50,403,0
361,517,136,100,100,125,110,50,50,65,95,57,100,85,93,136,1
362,465,89,60,45,70,45,90,95,25,35,70,95,55,45,465,0
363,505,502,83,106,65,86,65,85,40,50,90,30,55,65,505,0
364,601,644,45,53,70,40,60,42,36,50,50,65,60,44,644,1
365,459,84,60,59,85,79,105,36,50,85,55,65,65,90,84,1
366,548,525,80,80,80,80,80,80,110,130,80,70,60,80,525,1
367,707,521,100,120,100,150,120,90,86,76,86,116,56,95,521,1
368,14,62,45,30,35,20,20,45,40,80,35,35,45,70,62,1
369,728,501,38,36,38,32,36,57,108,112,118,68,72,47,728,0
370,182,246,40,60,40,40,40,30,65,80,140,40,70,70,246,1
371,741,117,66,65,48,62,57,52,90,55,75,60,75,30,741,0
372,29,431,35,60,44,40,54,55,50,70,160,70,160,90,431,1
373,719,574,56,61,65,48,45,38,75,98,63,98,63,101,574,1
374,209,477,65,65,45,75,45,95,65,136,94,54,96,135,477,1
375,492,37,58,70,45,40,45,42,90,92,87,75,85,76,37,1
376,425,43,100,180,160,150,90,90,38,41,40,50,65,65,425,0
377,207,284,30,30,30,30,30,30,100,150,110,95,110,70,284,1
378,749,512,45,80,100,35,37,28,90,132,105,132,105,30,512,1
379,539,153,80,105,105,105,105,80,60,115,105,65,70,80,153,1
380,152,159,30,80,90,55,45,55,90,100,90,125,85,90,159,1
381,738,18,44,38,39,61,79,42,45,25,50,25,25,35,738,0
382,182,579,40,60,40,40,40,30,50,55,50,36,30,43,579,1
383,69,302,25,20,15,105,55,90,40,30,30,55,30,85,69,0
384,173,713,50,65,64,44,48,43,125,120,90,170,100,95,713,1
385,488,199,20,25,45,70,90,60,70,20,50,20,50,40,488,0
386,683,506,77,120,90,60,90,48,74,100,72,90,72,46,683,0
387,2,619,60,62,63,80,80,60,50,65,85,35,35,55,2,0
388,735,255,80,52,50,90,50,89,55,20,35,20,45,75,735,0
389,70,800,40,35,30,120,70,105,80,110,120,130,90,70,70,0
390,120,67,80,85,95,30,30,25,65,65,65,50,50,90,67,1
391,738,610,44,38,39,61,79,42,70,60,75,110,75,90,610,1
392,68,397,90,95,95,70,90,70,80,80,80,80,80,80,397,1
393,540,714,75,125,70,125,70,115,91,72,90,129,90,108,540,0
394,184,197,85,90,80,70,80,130,90,95,105,165,110,45,184,0
395,577,58,76,25,45,67,55,24,40,45,35,40,40,90,58,1
396,750,29,59,110,150,45,49,35,35,60,44,40,54,55,29,1
397,391,640,99,68,83,72,87,51,65,40,50,125,60,30,391,0
398,211,737,95,85,85,65,65,35,86,68,72,109,66,106,211,0
399,462,694,70,94,50,94,50,66,58,109,112,48,48,109,694,1
400,337,147,60,100,85,80,85,100,65,65,60,110,95,130,147,1
401,459,644,60,59,85,79,105,36,36,50,50,65,60,44,644,1
402,615,652,70,90,45,15,45,50,69,55,45,55,55,15,615,0
403,786,180,55,85,122,58,75,99,40,20,30,40,80,55,786,0
404,247,594,45,60,30,80,50,65,85,105,85,40,50,40,594,1
